file_path,extension,role,size_bytes,line_count,complexity,sha256,is_suspicious,git_tracked_status
windows/runner/resources/app_icon.ico,.ico,Platform Native Code/Config,26495,213,Medium (>200 lines),b2d078725dd62b2d9179f1b8f30ceb6870c1623c485919044bc48c0c8dd19638,No,Tracked/Audited
web_landing/.well-known/assetlinks.json,.json,Configuration / Rules,274,12,Low,0a45010ea29f9bd51a488d96f42380c2be57770edb6aa0607585ebf68a6c8bc4,No,Tracked/Audited
web_landing/app/.last_build_id,,Other Project File,32,1,Low,35e771f749126a0b5faec677e5dd86a029fc1add7c275bdefca1bd427e4bf6dd,No,Tracked/Audited
web_landing/app/favicon.ico,.ico,Other Project File,20373,168,Low,dd821076a9b03adc2173c93956226aea3d92482d7578fc4339c5d3a2e9c24586,No,Tracked/Audited
web_landing/app/favicon.png,.png,Other Project File,917,17,Low,7ab2525f4b86b65d3e4c70358a17e5a1aaf6f437f99cbcc046dad73d59bb9015,No,Tracked/Audited
web_landing/app/flutter.js,.js,Other Project File,9553,31,Low,a483fd28f51ed2fadd0da3fade5b672eba56310d549d736ce62eabf624a6a578,No,Tracked/Audited
web_landing/app/flutter_bootstrap.js,.js,Other Project File,9975,42,Low,b33490e8405190f825109a298d1df26ffa9fc939eead606cb8abbe692485c630,No,Tracked/Audited
web_landing/app/flutter_service_worker.js,.js,Other Project File,815,31,Low,dbfbe64ae5be5b462abb97338eb9af783ed4ed57a8c73a53c2a44488a26f6416,No,Tracked/Audited
web_landing/app/index.html,.html,Other Project File,1580,46,Low,07e5fddb6ba395d73188b0edaa1b2f3b3ecb5789ceb62ae06eb88344ccbf29d9,No,Tracked/Audited
web_landing/app/main.dart.js,.js,Other Project File,5923922,197138,High (>500 lines),a9dccbfc96c6895478502d0e3e1b2089d90746e3b6ebbd08c670433f0a8e3d60,No,Tracked/Audited
web_landing/app/manifest.json,.json,Configuration / Rules,973,35,Low,78ca60e6cf98180fcf8838cf521ed69221521c8b9706af4eb26e35a7a0f4a727,No,Tracked/Audited
web_landing/app/version.json,.json,Configuration / Rules,112,1,Low,5372a3d28fb97f928a38d8aa5a29c75b92e54db4f76300d18966cb86a16270d3,No,Tracked/Audited
web_landing/app/_headers,,Other Project File,63,2,Low,96bace5276a96c55a64444602504efbf9aac920182672c1668365e6b7459a5fe,No,Tracked/Audited
web_landing/auth/tiktok/callback/index.html,.html,Other Project File,3551,116,Low,9180c5eaa1e17d527c4bb3453a32905cafba58de1102f87f718535831a600517,No,Tracked/Audited
web_landing/assets/images/logoapp.jpg,.jpg,Other Project File,19200,146,Low,0996017e91edacf1a384b62ca742c8719ef6105e316cd482585b46913012c61d,No,Tracked/Audited
web_landing/app/assets/account-DHP3D4lC.js,.js,Other Project File,2360,1,Low,faf3fbfd9c1a7283e85f59c29c742820f9a796b336bb01bd59680d29fe12e793,No,Tracked/Audited
web_landing/app/assets/admin-DYIRucf5.js,.js,Other Project File,8401,1,Low,db07181efbe1dac9920d59e1ac003a65bec5bfe6d95fa2652f527ed20ec33f0e,No,Tracked/Audited
web_landing/app/assets/admin-store-ChI9flUx.js,.js,Other Project File,482,1,Low,91f285900040f216c23d4e41c32e381962c4521b3a04242a727ff26b6f93c7ea,No,Tracked/Audited
